School_Year,Run_Type,Reason,Boro,Bus_Company_Name,School_Age_or_PreK,Number_Of_Students_On_The_Bus,Occurred_On_Hour,Occurred_On_Month,How_Long_Delayed,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT
2022-2023,Special Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,15,10,31-45 Min,No,No,No
2022-2023,General Ed PM Run,Other,Bronx,QUALITY TRANSPORTATION CORP.,School-Age,2,14,4,46-60 Min,No,No,No
2019-2020,General Ed PM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,2,15,1,0-15 Min,Yes,No,No
2021-2022,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,15,10,61-90 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,10,46-60 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Heavy Traffic,Bronx,"LORINDA ENTERPRISES, LTD.",School-Age,0,7,4,16-30 Min,Yes,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,8,10,61-90 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,6,9,31-45 Min,Yes,Yes,Yes
2020-2021,Special Ed AM Run,Heavy Traffic,Brooklyn,CAREFUL BUS,School-Age,4,8,5,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,6,6,5,16-30 Min,No,No,No
2021-2022,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,7,2,31-45 Min,No,No,No
2022-2023,Special Ed PM Run,Heavy Traffic,Westchester,VAN TRANS LLC (B2192),School-Age,0,14,10,16-30 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,"NEW DAWN TRANSIT, LLC (B2321)",School-Age,1,6,12,16-30 Min,Yes,No,No
2022-2023,General Ed AM Run,Accident,Bronx,QUALITY TRANSPORTATION CORP.,School-Age,6,9,10,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,"DON THOMAS BUSES, INC. (B2321)",School-Age,4,7,10,0-15 Min,Yes,Yes,No
2022-2023,Special Ed PM Run,Other,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,13,2,61-90 Min,No,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,11,31-45 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Heavy Traffic,Bronx,BOBBY`S BUS CO. INC.,School-Age,0,4,9,31-45 Min,Yes,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,5,3,61-90 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,PRIDE TRANSPORTATION (SCH AGE),School-Age,2,7,11,31-45 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,15,7,2,46-60 Min,Yes,Yes,No
2021-2022,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,2,7,5,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Problem Run,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,1,6,11,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,11,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,5,4,61-90 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,0,12,12,16-30 Min,Yes,Yes,No
