School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2022-2023,1799044,Special Ed PM Run,132,Q643,Other,"240,192,411,024,277",02/17/2023 01:56:00 PM,02/17/2023 01:57:00 PM,Queens,LITTLE RICHIE BUS SERVICE,61-90 Min,0,No,No,No,02/17/2023 01:57:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2020-2021,1637176,Special Ed AM Run,1245,L618,Heavy Traffic,"19,004,193,561,965,600,000,000,000,000,000,000",09/22/2020 06:54:00 AM,09/22/2020 06:56:00 AM,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,No,Yes,09/22/2020 06:56:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1631479,General Ed PM Run,3007,K9618,Late return from Field Trip,"32,145,321,623,237,600,000",02/26/2020 01:50:00 PM,02/26/2020 02:00:00 PM,Brooklyn,LOGAN BUS COMPANY INC.,61-90 Min,0,No,No,No,02/26/2020 02:00:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1712123,Special Ed AM Run,1442,N155,Other,"401,604,839",03/30/2022 07:30:00 AM,03/30/2022 07:30:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,3,Yes,Yes,No,03/30/2022 07:30:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1675293,Special Ed AM Run,1343,Q190,Weather Conditions,25463,10/26/2021 07:39:00 AM,10/26/2021 08:02:00 AM,Queens,FIRST STEPS TRANS INC. (B2192),31-45 Min,1,Yes,Yes,No,10/26/2021 08:02:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1665556,Special Ed AM Run,43230,K346,Mechanical Problem,"140,261,700,517,448",09/28/2021 06:50:00 AM,09/28/2021 07:00:00 AM,Brooklyn,"BORO TRANSIT, INC.",46-60 Min,0,Yes,Yes,No,09/28/2021 07:00:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1681989,Special Ed AM Run,1110,L824,Heavy Traffic,"1,512,415,136,153,710,000,000,000",11/16/2021 06:41:00 AM,11/16/2021 06:43:00 AM,All Boroughs,HOYT TRANSPORTATION CORP.,31-45 Min,1,Yes,Yes,No,11/16/2021 06:43:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1679254,Special Ed AM Run,5012,K901,Heavy Traffic,"1,445,914,465",11/05/2021 07:44:00 AM,11/05/2021 07:48:00 AM,Brooklyn,L & M BUS CORP (A),46-60 Min,6,Yes,Yes,No,11/05/2021 07:48:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1702519,Special Ed AM Run,2200,N136,Other,"60,480,634,806,450",02/16/2022 06:32:00 AM,02/16/2022 06:32:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,2,Yes,Yes,No,02/16/2022 06:32:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1671689,General Ed AM Run,251104,M1495,Other,"31,630,610,006,102",10/18/2021 07:55:00 AM,10/18/2021 07:59:00 AM,Manhattan,SNT BUS INC,0-15 Min,0,No,No,No,10/18/2021 07:59:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1755856,Special Ed AM Run,41403,K136,Heavy Traffic,"174,341,752,517,528,000,000,000,000,000",10/21/2022 07:13:00 AM,10/21/2022 07:16:00 AM,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,7,No,No,No,10/21/2022 07:16:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1630811,Pre-K/EI,GVC9316,3,Heavy Traffic,C616,02/25/2020 07:26:00 AM,02/25/2020 07:27:00 AM,Bronx,"G.V.C., LTD.",16-30 Min,3,Yes,Yes,No,02/25/2020 07:27:00 AM,,01/01/1900 12:00:00 AM,Running Late,Pre-K
2019-2020,1616678,Special Ed PM Run,1478,N168,Heavy Traffic,"5,125,051,290,536,200,000",01/07/2020 01:02:00 PM,01/07/2020 01:02:00 PM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,01/07/2020 01:02:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1801362,Special Ed AM Run,1412,N580,Heavy Traffic,"23,740,281,402,821",03/03/2023 06:34:00 AM,03/03/2023 06:35:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,Yes,03/03/2023 06:35:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
